"site_id","site_name","wkt","n_d18o_samples","n_d13c_samples"
236,"Toca da Boa Vista","POINT(-40.8605 -10.1602)","791","61"
81,"Gueldaman cave","POINT(4.5667 36.4333)","425","425"
197,"Klaus Cramer cave","POINT(9.52 47.26)","850","0"
157,"Munagamanu cave","POINT(77.92 15.15)","423","423"
364,"Naharon","POINT(-87.54 20.18)","419","419"
87,"Pindal cave","POINT(-4.53 43.4)","422","413"
113,"Paixão cave","POINT(-41.0184 -12.6182)","820","0"
335,"Ostolo cave","POINT(-0.2678 43.1878)","404","404"
304,"Cueva Bonita","POINT(-99 23)","399","399"
248,"Shenqi cave","POINT(103.1 28.333)","787","0"
67,"Clearwater/Wind caves connection","POINT(114.83 4.1)","385","385"
280,"Atta cave","POINT(7.9 51.1)","384","384"
186,"Bribin cave","POINT(110.633 -8.05)","377","374"
28,"Valmiki cave ","POINT(77.8167 15.15)","485","263"
361,"Kocain cave","POINT(30.7117 37.2325)","369","369"
61,"Timta cave","POINT(82.0336 29.8381)","362","362"
230,"Marota cave","POINT(-41.0216 -12.6227)","723","0"
147,"Fort Stanton cave","POINT(-105.4433 33.5067)","359","359"
